ID,WAVE,DATE,DEPART_DATE,S_MM,S_DD,S_YYYY,ORIGIN,O_CODE,,O_LAT,O_LONG,PERSONS,ARR_DATE,ARR_DATE,E_MM,E_DD,E_YYYY,DESTINATION,,,DEST_LAT,DEST_LONG,DEST_TYPE,THROUGH,NOTES,SOURCE,,,,,,,,,
10,1,15th October 1941,1941-10-15,10,15,1941,Wien,O_62,Wien,48.2088,16.3726,1005,16th October 1941,1941-10-16,10,16,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,1005/999,,,,,,,,,,
11,1,16th October 1941,1941-10-16,10,16,1941,Prag,O_47,Prag,50.0833,14.4166,1000,17th October 1941,1941-10-17,10,17,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,,,,,,,,,,,
12,1,16th October 1941,1941-10-16,10,16,1941,Luxemburg,O_36,Luxemburg,49.6,6.1166,560,18th October 1941,1941-10-18,10,18,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,Trier,512/560,,,,,,,,,,
13,1,18th October 1941,1941-10-18,10,18,1941,Berlin,O_06,Berlin,52.5167,13.4,1013,19th October 1941,1941-10-19,10,19,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,,,,,,,,,,,
14,1,19th October 1941,1941-10-19,10,19,1941,Wien,O_62,Wien,48.2088,16.3726,1003,20th October 1941,1941-10-20,10,20,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,1001/1003,,,,,,,,,,
15,1,20th October 1941,1941-10-20,10,20,1941,Frankfurt,O_19,Frankfurt,50.1167,8.6833,1180,21st October 1941,1941-10-21,10,21,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,1113/1180,,,,,,,,,,
16,1,21st October 1941,1941-10-21,10,21,1941,Prag,O_47,Prag,50.0833,14.4166,1000,22nd October 1941,1941-10-22,10,22,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,,,,,,,,,,,
17,1,22nd October 1941,1941-10-22,10,22,1941,Köln,O_32,Köln,50.9333,6.95,1018,23rd October 1941,1941-10-23,10,23,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,,,,,,,,,,,
18,1,23rd October 1941,1941-10-23,10,23,1941,Wien,O_62,Wien,48.2088,16.3726,1000,24th October 1941,1941-10-24,10,24,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,991/1000,,,,,,,,,,
19,1,24th October 1941,1941-10-24,10,24,1941,Berlin,O_06,Berlin,52.5167,13.4,1146,25th October 1941,1941-10-25,10,25,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,987/1146,,,,,,,,,,
20,1,25th October 1941,1941-10-25,10,25,1941,Hamburg,O_24,Hamburg,53.55,10,1034,26th October 1941,1941-10-26,10,26,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,,,,,,,,,,,
21,1,26th October 1941,1941-10-26,10,26,1941,Prag,O_47,Prag,50.0833,14.4166,1000,27th October 1941,1941-10-27,10,27,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,,,,,,,,,,,
22,1,27th October 1941,1941-10-27,10,27,1941,Düsseldorf,O_17,Düsseldorf,51.2167,6.7667,1011,28th October 1941,1941-10-28,10,28,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,1011/983,,,,,,,,,,
23,1,28th October 1941,1941-10-28,10,28,1941,Wien,O_62,Wien,48.2088,16.3726,999,29th October 1941,1941-10-29,10,29,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,998/999,,,,,,,,,,
24,1,27th / 29th October 1941,1941-10-29,10,29,1941,Berlin,O_06,Berlin,52.5167,13.4,1009,30th October 1941,1941-10-30,10,30,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,1009/908,,,,,,,,,,
25,1,30th October 1941,1941-10-30,10,30,1941,Köln,O_32,Köln,50.9333,6.95,1011,31st October 1941,1941-10-31,10,31,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,973/1011,,,,,,,,,,
26,1,31st October 1941,1941-10-31,10,31,1941,Prag,O_47,Prag,50.0833,14.4166,1000,01st November 1941,1941-11-01,11,1,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,,,,,,,,,,,
27,1,01st November 1941,1941-11-01,11,1,1941,Berlin,O_06,Berlin,52.5167,13.4,1079,02nd November 1941,1941-11-02,11,2,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,1033/1079,,,,,,,,,,
28,1,02nd November 1941,1941-11-02,11,2,1941,Wien,O_62,Wien,48.2088,16.3726,998,03rd November 1941,1941-11-03,11,3,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,,,,,,,,,,,
29,1,03rd November 1941,1941-11-03,11,3,1941,Prag,O_47,Prag,50.0833,14.4166,998,04th November 1941,1941-11-04,11,4,1941,Litzmannstadt,D_13,Litzmannstadt,51.783333,19.466667,G,,,,,,,,,,,,
30,2,08th November 1941,1941-11-08,11,8,1941,Hamburg,O_24,Hamburg,53.55,10,1004,11th November 1941,1941-11-11,11,11,1941,Minsk,D_20,Minsk,53.9,27.566666,G,,968/1004,,,,,,,,,,
31,2,10th November 1941,1941-11-10,11,10,1941,Düsseldorf,O_17,Düsseldorf,51.2167,6.7667,993,15th November 1941,1941-11-15,11,15,1941,Minsk,D_20,Minsk,53.9,27.566666,G,,,,,,,,,,,,
32,2,11th / 12 November 1941,1941-11-12,11,12,1941,Frankfurt,O_19,Frankfurt,50.1167,8.6833,1052,17th November 1941,1941-11-17,11,17,1941,Minsk,D_20,Minsk,53.9,27.566666,G,,1042/1052,,,,,,,,,,
33,2,14th November 1941,1941-11-14,11,14,1941,Berlin,O_06,Berlin,52.5167,13.4,1030,18th November 1941,1941-11-18,11,18,1941,Minsk,D_20,Minsk,53.9,27.566666,G,,956/1030,,,,,,,,,,
34,2,16th November 1941,1941-11-16,11,16,1941,Brünn,O_11,Brünn,50.45,10.85,1000,20th / 21st November 1941,1941-11-21,11,21,1941,Minsk,D_20,Minsk,53.9,27.566666,G,,999/1000,,,,,,,,,,
35,2,17th November 1941,1941-11-17,11,17,1941,Berlin,O_06,Berlin,52.5167,13.4,1006,21st November 1941,1941-11-21,11,21,1941,Kowno,D_10,Kowno,54.9,23.9,G,,,,,,,,,,,,
36,2,18th November 1941,1941-11-18,11,18,1941,Bremen,O_09,Bremen,50.7167,10,1010,22nd November 1941,1941-11-22,11,22,1941,Minsk,D_20,Minsk,53.9,27.566666,G,Hamburg,978/1010,,,,,,,,,,
37,2,20th November 1941,1941-11-20,11,20,1941,München,O_40,München,48.15,11.5833,999,24th / 25th November 1941,1941-11-25,11,25,1941,Kowno,D_10,Kowno,54.9,23.9,G,,,,,,,,,,,,
38,2,22nd November 1941,1941-11-22,11,22,1941,Frankfurt,O_19,Frankfurt,50.1167,8.6833,988,25th November 1941,1941-11-25,11,25,1941,Kowno,D_10,Kowno,54.9,23.9,G,,988/992,,,,,,,,,,
39,2,23rd November 1941,1941-11-23,11,23,1941,Wien,O_62,Wien,48.2088,16.3726,998,26th November 1941,1941-11-26,11,26,1941,Kowno,D_10,Kowno,54.9,23.9,G,,,,,,,,,,,,
40,2,25th November 1941,1941-11-25,11,25,1941,Breslau,O_10,Breslau,51.1077,17.0383,1005,28th November 1941,1941-11-28,11,28,1941,Kowno,D_10,Kowno,54.9,23.9,G,,,,,,,,,,,,
41,2,27th November 1941,1941-11-27,11,27,1941,Berlin,O_06,Berlin,52.5167,13.4,1053,30th November 1941,1941-11-30,11,30,1941,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
42,2,28th November 1941,1941-11-28,11,28,1941,Wien,O_62,Wien,48.2088,16.3726,1001,05th December 1941,1941-12-05,12,5,1941,Minsk,D_20,Minsk,53.9,27.566666,G,,,,,,,,,,,,
43,2,29th November 1941,1941-11-29,11,29,1941,Nürnberg,O_42,Nürnberg,49.4478,11.0683,1008,02nd December 1941,1941-12-02,12,2,1941,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
44,2,01st December 1941,1941-12-01,12,1,1941,Stuttgart,O_53,Stuttgart,48.7786,9.1794,1013,04th December 1941,1941-12-04,12,4,1941,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
45,2,03rd December 1941,1941-12-03,12,3,1941,Wien,O_62,Wien,48.2088,16.3726,1001,06th December 1941,1941-12-06,12,6,1941,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
46,2,06th December 1941,1941-12-06,12,6,1941,Hamburg,O_24,Hamburg,53.55,10,964,09th December 1941,1941-12-09,12,9,1941,Riga,D_28,Riga,56.946527,24.104861,G,,According to transportation planning 200 Jews from Danzig should be connected with this transport. Only 27 of them are known by name.,,,,,,,,,,
47,2,07th December 1941,1941-12-07,12,7,1941,Köln,O_32,Köln,50.9333,6.95,1011,10th December 1941,1941-12-10,12,10,1941,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
48,2,09th December 1941,1941-12-09,12,9,1941,Kassel,O_30,Kassel,51.316667,9.5,1034,12th December 1941,1941-12-12,12,12,1941,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
49,2,11th December 1941,1941-12-11,12,11,1941,Düsseldorf,O_17,Düsseldorf,51.2167,6.7667,1007,13th December 1941,1941-12-13,12,13,1941,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
50,2,13th December 1941,1941-12-13,12,13,1941,Münster,O_41,Münster,51.966667,7.63333,1031,16th December 1941,1941-12-16,12,16,1941,Riga,D_28,Riga,56.946527,24.104861,G,"Osnabruck, Bielefeld",,,,,,,,,,,
51,2,15th December 1941,1941-12-15,12,15,1941,Hannover,O_26,Hannover,52.366667,9.716667,1001,18th December 1941,1941-12-18,12,18,1941,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
52,2,09th January 1942,1942-01-09,1,9,1942,Theresienstadt,O_54,Theresienstadt,50.3,14.9,1005,12th January 1942,1942-01-12,1,12,1942,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
53,2,11th January 1942,1942-01-11,1,11,1942,Wien,O_62,Wien,48.2088,16.3726,1000,15th January 1942,1942-01-15,1,15,1942,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
54,2,13th January 1942,1942-01-13,1,13,1942,Berlin,O_06,Berlin,52.5167,13.4,1034,16th January 1942,1942-01-16,1,16,1942,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
55,2,15th January 1942,1942-01-15,1,15,1942,Theresienstadt,O_54,Theresienstadt,50.3,14.9,997,19th January 1942,1942-01-19,1,19,1942,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
56,2,19th January 1942,1942-01-19,1,19,1942,Berlin,O_06,Berlin,52.5167,13.4,1002,23rd January 1942,1942-01-23,1,23,1942,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
57,2,21st January 1942,1942-01-21,1,21,1942,Leipzig,O_34,Leipzig,51.33333,12.3833,773,24th January 1942,1942-01-24,1,24,1942,Riga,D_28,Riga,56.946527,24.104861,G,Dresden,,,,,,,,,,,
58,2,25th January 1942,1942-01-25,1,25,1942,Berlin,O_06,Berlin,52.5167,13.4,1044,30th January 1942,1942-01-30,1,30,1942,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
59,2,26th January 1942,1942-01-26,1,26,1942,Wien,O_62,Wien,48.2088,16.3726,1201,31st January 1942,1942-01-31,1,31,1942,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
60,2,27th January 1942,1942-01-27,1,27,1942,Gelsenkirchen,O_20,Gelsenkirchen,51.51667,7.1,938,01st February 1942,1942-02-01,2,1,1942,Riga,D_28,Riga,56.946527,24.104861,G,Dortmund,,,,,,,,,,,
61,2,06th February 1942,1942-02-06,2,6,1942,Wien,O_62,Wien,48.2088,16.3726,1003,10th February 1942,1942-02-10,2,10,1942,Riga,D_28,Riga,56.946527,24.104861,G,,,,,,,,,,,,
62,3c,11th March 1942,1942-03-11,3,11,1942,Theresienstadt,O_54,Theresienstadt,50.3,14.9,1003,13th March 1942,1942-03-13,3,13,1942,Izbica,D_14,Izbica,50.886861,23.152194,G,,1001/1003,,,,,,,,,,
63,3c,17th March 1942,1942-03-17,3,17,1942,Theresienstadt,O_54,Theresienstadt,50.3,14.9,1000,19th March 1942,1942-03-19,3,19,1942,Izbica,D_15,Izbica,50.886861,23.152194,G,,,,,,,,,,,,
64,3c,22nd March 1942,1942-03-22,3,22,1942,Koblenz,O_31,Koblenz,50.359722,7.597778,1000,25th March 1942,1942-03-25,3,25,1942,Izbica,D_11,Izbica,50.886861,23.152194,G,,,,,,,,,,,,
65,3c,24th March 1942,1942-03-24,3,24,1942,Nürnberg,O_42,Nürnberg,49.4478,11.0683,1000,27th March 1942,1942-03-27,3,27,1942,Izbica,D_12,Izbica,50.886861,23.152194,G,,,,,,,,,,,,
